MeterID,Description,Units,Resource,BuildingID,BuildingName,GrossSquareFeet,BuildDate,Latitude,Longitude,Campus,Organization,LocationType,SteamSourceID,ChilledWaterSourceID,HotWaterSourceID
OSU_RTS.MDBUS_RH.1106_HHF,CURL HW HEAT FLOW,KBTU/HR,Heating Hot Water,1106,Curl Hall,25653.0,2015-07-01,40.00428,-83.01095,Main,SDL,Student Housing,,,
OSU_RTS.MDBUS_RH.1106C_HF,CURL CW HEAT FLOW,KBTU/HR,Chilled Water ,1106,Curl Hall,25653.0,2015-07-01,40.00428,-83.01095,Main,SDL,Student Housing,,,
OSU_RTS.MDBUS_RH.1107_HHF,BLACKBURN HW HEAT FLOW,KBTU/HR,Heating Hot Water,1107,Blackburn House,132162.0,2016-07-01,40.00412,-83.01256,Main,SDL,Student Housing,,,
OSU_RTS.MDBUS_RH.1107C_HF,BLACKBURN CW HEAT FLOW,KBTU/HR,Chilled Water ,1107,Blackburn House,132162.0,2016-07-01,40.00412,-83.01256,Main,SDL,Student Housing,,,
OSU_RTS.MDBUS_RH.1108_HHF,SCOTT HHW HEAT FLOW,KBTU/HR,Heating Hot Water,1108,Scott House,169311.0,2015-07-01,40.00439,-83.01339,Main,SDL,Student Housing,,,
OSU_RTS.MDBUS_RH.1108C_HF,SCOTT CW HEAT FLOW,KBTU/HR,Chilled Water ,1108,Scott House,169311.0,2015-07-01,40.00439,-83.01339,Main,SDL,Student Housing,,,
OSU_RTS.MDBUS_RH.1109_HHF,N. REC HW HEAT FLOW,KBTU/HR,Heating Hot Water,1109,North Recreation Center,28834.0,2016-07-01,,,Main,SDL,Student Activity,,,
OSU_RTS.MDBUS_RH.1109C_HF,NORTH REC CW HEAT FLOW,KBTU/HR,Chilled Water ,1109,North Recreation Center,28834.0,2016-07-01,,,Main,SDL,Student Activity,,,
OSU_RTS.MDBUS_RH.1110_HHF,NOSKER HHW HEAT FLOW,KBTU/HR,Heating Hot Water,1110,Nosker House,106857.0,2016-07-01,40.00485,-83.01211,Main,SDL,Student Housing,,,
OSU_RTS.MDBUS_RH.1110C_HF,NOSKER CW HEAT FLOW,KBTU/HR,Chilled Water ,1110,Nosker House,106857.0,2016-07-01,40.00485,-83.01211,Main,SDL,Student Housing,,,
OSU_RTS.MDBUS_RT.112S_HF,BRT STM HEAT FLOW,KBTU/HR,Steam,112,Biomedical Research Tower,412630.0,2006-12-01,,,Medical Center,,Research,69,69,69
OSU_RTS.MDBUS_C1.127_HF,SMITH SUB CW HEAT FLOW,KBTU/HR,Chilled Water ,127,"Smith, Thomas, Electrical Substation",23886.0,2005-07-01,0.0,0.0,Main,SUB,Facilities,,,
OSU_RTS.MDBUS_C1.136_HF,VMA CW HEAT FLOW,KBTU/HR,Chilled Water ,136,Veterinary Medicine Academic,113459.0,2002-07-01,39.99953,-83.02661,Main,ACA,Academic,69,69,69
OSU_RTS.MDBUS_RT.014S_HF,JENNINGS STM HEAT FLOW,KBTU/HR,Steam,14,"Jennings, Edward H, Hall",112502.0,1914-07-01,39.99674,-83.01565,Main,ACA,Academic/Research,69,69,69
OSU_RTS.MDBUS_C1.144_CHF,PSYCH CW HEAT FLOW,KBTU/HR,Chilled Water ,144,Psychology Building,132733.0,2005-07-01,39.99852,-83.01627,Main,ACA,Academic,69,69,69
OSU_RTS.MDBUS_RT.144S_HF,PSYCH STM HEAT FLOW,KBTU/HR,Steam,144,Psychology Building,132733.0,2005-07-01,39.99852,-83.01627,Main,ACA,Academic,69,69,69
OSU_RTS.MDBUS_C1.146A_CHF,BOLZ CW HEAT FLOW,KBTU/HR,Chilled Water ,146,"Bolz, Harold A, Hall",82179.0,1960-07-01,40.0031,-83.01502,Main,ACA,Academic,69,69,69
OSU_RTS.MDBUS_RT.146S_HF,BOLZ STM HEAT FLOW,KBTU/HR,Steam,146,"Bolz, Harold A, Hall",82179.0,1960-07-01,40.0031,-83.01502,Main,ACA,Academic,69,69,69
OSU_RTS.MDBUS_C1.146_HF,BOLZ/HITCH CW HEAT FLOW,KBTU/HR,Chilled Water ,146,"Bolz, Harold A, Hall",82179.0,1960-07-01,40.0031,-83.01502,Main,ACA,Academic,69,69,69
OSU_RTS.MDBUS_C1.147_HF,NEWMAN CW HEAT FLOW,KBTU/HR,Chilled Water ,147,Newman and Wolfrom Laboratory of Chemistry,62058.0,1995-07-01,40.00238,-83.01137,Main,ACA,Lab,69,69,69
OSU_RTS.MDBUS_RT.147S_HF,NEWMAN WOLF ST HEAT FLOW,KBTU/HR,Steam,147,Newman and Wolfrom Laboratory of Chemistry,62058.0,1995-07-01,40.00238,-83.01137,Main,ACA,Lab,69,69,69
OSU_RTS.MDBUS_C1.148_HF,SCOTT CW HEAT FLOW,KBTU/HR,Chilled Water ,148,"Scott, Peter L and Clara M, Laboratory",262375.0,2006-07-01,40.00231,-83.01418,Main,ACA,Academic/Research,69,69,69
OSU_RTS.MDBUS_RT.148S_HF,SCOTT LAB STM HEAT FLOW,KBTU/HR,Steam,148,"Scott, Peter L and Clara M, Laboratory",262375.0,2006-07-01,40.00231,-83.01418,Main,ACA,Academic/Research,69,69,69
OSU_RTS.MDBUS_RT.149S_HF,HOPKINS STM HEAT FLOW,KBTU/HR,Steam,149,"Hopkins, James R, Hall",110154.0,1959-07-01,40.00087,-83.01155,Main,ACA,Academic,69,69,69
OSU_RTS.MDBUS_RT.150_HF,EVANS LAB ST HEAT FLOW,KBTU/HR,Steam,150,"Evans, William Lloyd, Laboratory",117574.0,1960-07-01,40.00266,-83.0111,Main,,OSUWMC,69,69,69
OSU_RTS.MDBUS_C1.150_HF,EVANS LAB CW HEAT FLOW,KBTU/HR,Chilled Water ,150,"Evans, William Lloyd, Laboratory",117574.0,1960-07-01,40.00266,-83.0111,Main,,OSUWMC,69,69,69
OSU_RTS.MDBUS_C1.160_HF,SAS CW HEAT FLOW,KBTU/HR,Chilled Water ,160,Student Academic Services Building,137250.0,2010-07-01,40.00601,-83.01613,Main,ADM,Office,69,69,69
OSU_RTS.MDBUS_RT.160S_HF,SAS STM HEAT FLOW,KBTU/HR,Steam,160,Student Academic Services Building,137250.0,2010-07-01,40.00601,-83.01613,Main,ADM,Office,69,69,69
